code_espece_local,espece,annee,semaine,fichier_source,feuille_source
ACA,Aurelia coerulea,2024,52,Suivi_2024.xlsx,Aurelia
ACA,Aurelia coerulea,2025,12,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,13,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,14,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,15,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,16,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,17,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,18,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,19,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,20,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,21,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,22,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,23,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,24,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,25,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,26,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,27,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,28,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,29,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,30,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,31,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,32,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,33,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,34,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,35,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,36,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,37,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,38,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,39,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,40,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,41,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,42,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,43,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,44,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,45,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,46,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,47,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,48,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,49,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,50,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,51,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2025,52,Suivi_2025.xlsx,Aurelia
ACA,Aurelia coerulea,2026,1,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,2,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,3,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,4,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,5,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,6,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,7,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,8,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,9,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,10,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,11,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,12,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,13,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,14,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,15,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,16,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,17,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,18,Suivi_2026.xlsx,Aurelia
ACA,Aurelia coerulea,2026,19,Suivi_2026.xlsx,Aurelia
ACO,Aequorea coerulescens,2020,1,Suivi_2020.xlsx,Hydrozoa
ACO,Aequorea coerulescens,2020,2,Suivi_2020.xlsx,Hydrozoa
